loss,val_loss,accuracy,val_accuracy,bias,variance
0.47551750656097164,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.16,0.0
0.4738949596881866,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.32,0.0
0.4734231868097859,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.2,0.0
0.4732659284145601,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.16,0.0
0.4737377041770566,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.28,0.0
0.4735804436668273,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.24,0.0
0.4732659253381914,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.16,0.0
0.47342318777115117,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.2,0.0
0.4734231904629738,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.2,0.0
0.47326592899137926,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.16,0.0
0.47358044597410387,0.47336828137965914,0.8397435897435898,0.8397435897435898,-0.24,0.0
